timestamp,q_cms,SRP_mgPL,DO_sat,fDOM,pH,spCond,temp,turb,precip_mm,temp_C,atm_mbar,Basic_Threshold
08/26/17 10:00 PM,0.029281561,0.000759858,94.59733333,17.29171317,7.391333333,40.10755353,13.59933333,0.11,0,8.05,986.9,0
08/26/17 10:15 PM,0.030712076,0.0001595,94.55666667,17.25578918,7.355333333,40.12498405,13.538,0.116,0,7.87,987,0
08/26/17 10:30 PM,0.029281561,0.000303531,94.42866667,17.23420405,7.384666667,40.13441458,13.48666667,0.111333333,0,7.84,987,0
08/26/17 10:45 PM,0.028589636,0.000904854,94.384,17.19837823,7.39,40.1958451,13.428,0.11,0,7.54,987.1,0
08/26/17 11:00 PM,0.02791285,0.000836422,94.302,17.18315098,7.39,40.23927563,13.368,0.11,0,7.52,987,0
08/26/17 11:15 PM,0.02791285,0.0001595,94.42866667,17.15664636,7.381333333,40.24403948,13.31666667,0.092666667,0,7.52,987,0
08/26/17 11:30 PM,0.028589636,0.000214647,94.41533333,17.13894142,7.388666667,40.26947001,13.27533333,0.098666667,0,7.44,986.9,0
08/26/17 11:45 PM,0.030712076,0.000492065,94.49666667,17.11133081,7.39,40.2295672,13.22666667,0.074,0,7.39,986.9,0
08/27/17 12:00 AM,0.028589636,0.000729029,94.484,17.07595194,7.381333333,40.27433106,13.168,0.096,0,7.32,987,0
08/27/17 12:15 AM,0.029281561,0.000772621,94.59266667,17.12585694,7.388666667,40.22976158,13.12533333,0.1,0,7.27,987.1,0
08/27/17 12:30 AM,0.02791285,0.00042764,94.61,17.10450239,7.381333333,40.25585877,13.08533333,0.1,0,7.29,987.2,0
08/27/17 12:45 AM,0.026603483,0.0001595,94.59266667,17.09750128,7.38,40.29528929,13.03666667,0.074,0,7.09,987.2,0
08/27/17 01:00 AM,0.028589636,0.000218669,94.642,17.09918718,7.388666667,40.23071982,12.99533333,0.087333333,0,6.94,987,0
08/27/17 01:15 AM,0.027250899,0.000396177,94.66733333,17.1092261,7.39,40.20215034,12.964,0.081333333,0,6.79,987,0
08/27/17 01:30 AM,0.028589636,0.0001595,94.65266667,17.09631398,7.39,40.26824753,12.92533333,0.08,0,6.96,986.9,0
08/27/17 01:45 AM,0.02791285,0.0001595,94.50266667,17.10267864,7.381333333,40.24367806,12.88533333,0.08,0,6.76,986.9,0
08/27/17 02:00 AM,0.02791285,0.0001595,94.56666667,17.07764334,7.388666667,40.22044191,12.854,0.106,0,6.79,986.9,0
08/27/17 02:15 AM,0.026603483,0.0001595,94.528,17.035671,7.39,40.2345391,12.81533333,0.101333333,0,6.66,986.9,0
08/27/17 02:30 AM,0.028589636,0.000248137,94.45066667,17.03897631,7.39,40.27130296,12.77533333,0.108666667,0,6.74,986.8,0
08/27/17 02:45 AM,0.027250899,0.000569458,94.42266667,17.03421754,7.39,40.26740015,12.744,0.092666667,0,6.64,987,0
08/27/17 03:00 AM,0.02791285,0.000597707,94.45466667,17.02336545,7.39,40.27416401,12.714,0.133333333,0,6.64,987,0
08/27/17 03:15 AM,0.029988936,0.0010258,94.486,17.00524008,7.39,40.30092787,12.67533333,0.105333333,0,6.69,987,0
08/27/17 03:30 AM,0.028589636,0.000221172,94.65466667,16.99876707,7.39,40.27835839,12.65266667,0.091333333,0,6.76,986.9,0
08/27/17 03:45 AM,0.028589636,0.000406187,94.63666667,16.97840177,7.381333333,40.28245558,12.624,0.098666667,0,6.66,986.8,0
08/27/17 04:00 AM,0.027250899,0.000320074,94.61266667,16.96864514,7.388666667,40.30921944,12.58533333,0.1,0,6.74,986.9,0
08/27/17 04:15 AM,0.028589636,0.000970883,94.67933333,16.97131996,7.346666667,40.29531663,12.554,0.117333333,0,6.69,986.8,0
08/27/17 04:30 AM,0.02791285,0.000908357,94.716,16.96797404,7.383333333,40.31808049,12.53266667,0.111333333,0,6.71,986.9,0
08/27/17 04:45 AM,0.028589636,0.000482143,94.694,16.93126282,7.39,40.31284434,12.504,0.101333333,0,6.53,986.9,0
08/27/17 05:00 AM,0.029281561,0.00028981,94.72466667,16.91137716,7.39,40.31094153,12.46533333,0.1,0,6.51,986.9,0
08/27/17 05:15 AM,0.028589636,0.0001595,94.69533333,16.89112912,7.39,40.32770539,12.44266667,0.108666667,0,6.46,987,0
08/27/17 05:30 AM,0.029281561,0.000271896,94.77666667,16.89039836,7.39,40.32113591,12.414,0.101333333,0,6.46,987,0
